BPM 150

# Neon Drop - Laserbeam-inspired starter level
# Format:
# LASER activeBeat centerX centerY angle
# Window: 1280x720, center = 640,360
# Notes: This is a custom starter map for the current simplified parser.

# --- Intro: simple center and side sweeps ---
LASER 4 640 360 0
LASER 8 640 360 90
LASER 12 320 360 90
LASER 16 960 360 90
LASER 20 640 180 0
LASER 24 640 540 0
LASER 28 640 360 35
LASER 32 640 360 -35

# --- Build 1: alternating vertical/horizontal lanes ---
LASER 36 220 360 90
LASER 38 640 120 0
LASER 40 430 360 90
LASER 42 640 240 0
LASER 44 640 360 90
LASER 46 640 360 0
LASER 48 850 360 90
LASER 50 640 480 0
LASER 52 1060 360 90
LASER 54 640 600 0
LASER 56 220 360 90
LASER 58 640 120 0
LASER 60 430 360 90
LASER 62 640 240 0
LASER 64 640 360 90
LASER 66 640 360 0
LASER 68 850 360 90
LASER 70 640 480 0
LASER 72 1060 360 90
LASER 74 640 600 0
LASER 76 220 360 90
LASER 78 640 120 0

# --- Pre-drop: diagonal tension ---
LASER 82 640 360 35
LASER 84 640 360 -35
LASER 86 640 360 35
LASER 88 640 360 -35
LASER 90 640 360 45
LASER 92 640 360 -45
LASER 94 640 360 35
LASER 96 640 360 -35

# --- Drop 1: heavy laser-grid section ---
LASER 97 640 360 0
LASER 98 640 360 90
LASER 101 320 360 90
LASER 102 960 360 90
LASER 105 640 180 0
LASER 106 640 540 0
LASER 109 640 360 35
LASER 110 640 360 -35
LASER 113 430 360 90
LASER 114 640 240 0
LASER 117 850 360 90
LASER 118 640 480 0
LASER 121 640 360 45
LASER 122 640 360 -45
LASER 125 220 360 90
LASER 126 1060 360 90
LASER 129 640 120 0
LASER 130 640 600 0
LASER 133 640 360 35
LASER 134 640 360 -35
LASER 137 430 360 90
LASER 138 850 360 90
LASER 141 640 240 0
LASER 142 640 480 0
LASER 145 640 360 45
LASER 146 640 360 -45
LASER 149 320 360 90
LASER 150 960 360 90
LASER 153 640 180 0
LASER 154 640 540 0
LASER 157 640 360 0
LASER 158 640 360 90
LASER 160 640 360 35

# --- Fill: slower breathing pattern ---
LASER 164 640 360 -35
LASER 168 640 360 35
LASER 172 640 240 0
LASER 176 640 480 0
LASER 180 430 360 90
LASER 184 850 360 90
LASER 188 640 360 45
LASER 192 640 360 -45

# --- Break: easier reset section ---
LASER 200 640 360 0
LASER 208 640 360 90
LASER 216 640 360 35
LASER 224 640 360 -35
LASER 232 640 360 0
LASER 240 640 360 90
LASER 248 640 360 35
LASER 256 640 360 -35

# --- Build 2: faster lane sequence ---
LASER 260 220 360 90
LASER 262 1060 360 90
LASER 264 640 120 0
LASER 266 640 600 0
LASER 268 430 360 90
LASER 270 850 360 90
LASER 272 640 240 0
LASER 274 640 480 0
LASER 276 640 360 35
LASER 278 640 360 -35
LASER 280 220 360 90
LASER 282 1060 360 90
LASER 284 640 120 0
LASER 286 640 600 0
LASER 288 430 360 90
LASER 290 850 360 90
LASER 292 640 240 0
LASER 294 640 480 0
LASER 296 640 360 35
LASER 298 640 360 -35
LASER 300 220 360 90
LASER 302 1060 360 90
LASER 304 640 120 0
LASER 306 640 600 0
LASER 308 430 360 90
LASER 310 850 360 90
LASER 312 640 240 0
LASER 314 640 480 0
LASER 316 640 360 35
LASER 318 640 360 -35
LASER 320 220 360 90

# --- Drop 2: denser final laser section ---
LASER 321 640 360 0
LASER 322 640 360 90
LASER 324 640 360 35
LASER 325 640 360 -35
LASER 327 430 360 90
LASER 328 640 480 0
LASER 333 640 360 45
LASER 336 640 360 -45
LASER 337 640 360 90
LASER 338 640 360 0
LASER 340 640 360 -35
LASER 341 640 360 35
LASER 343 850 360 90
LASER 344 640 240 0
LASER 349 640 360 -45
LASER 352 640 360 45
LASER 353 640 360 0
LASER 354 640 360 90
LASER 356 640 360 35
LASER 357 640 360 -35
LASER 359 430 360 90
LASER 360 640 480 0
LASER 365 640 360 45
LASER 368 640 360 -45
LASER 369 640 360 90
LASER 370 640 360 0
LASER 372 640 360 -35
LASER 373 640 360 35
LASER 375 850 360 90
LASER 376 640 240 0
LASER 381 640 360 -45
LASER 384 640 360 45
LASER 385 640 360 0
LASER 386 640 360 90
LASER 388 640 360 35
LASER 389 640 360 -35
LASER 391 430 360 90
LASER 392 640 480 0
LASER 397 640 360 45
LASER 400 640 360 -45
LASER 401 640 360 90
LASER 402 640 360 0
LASER 404 640 360 -35
LASER 405 640 360 35
LASER 407 850 360 90
LASER 408 640 240 0
LASER 413 640 360 -45
LASER 416 640 360 45
LASER 417 640 360 0
LASER 418 640 360 90
LASER 420 640 360 35
LASER 421 640 360 -35
LASER 423 430 360 90
LASER 424 640 480 0
LASER 429 640 360 45
LASER 432 640 360 -45
LASER 433 640 360 90
LASER 434 640 360 0
LASER 436 640 360 -35
LASER 437 640 360 35
LASER 439 850 360 90
LASER 440 640 240 0
LASER 445 640 360 -45
LASER 448 640 360 45

# --- Outro: spaced ending hits ---
LASER 456 640 360 0
LASER 464 640 360 90
LASER 472 640 360 35
LASER 480 640 360 -35
LASER 488 320 360 90
LASER 496 960 360 90
LASER 504 640 180 0
LASER 512 640 540 0
LASER 520 640 360 45
LASER 528 640 360 -45
LASER 536 640 360 0
LASER 544 640 360 90
